问题id,问题,FA
290,2015年度和2016年度，深圳市超频三科技股份有限公司营业收入分别同比变动多少？,"2015年度和2016年度，深圳市超频三科技股份有限公司营业收入分别同比变动-4.72%、2.43%。
完整内容：根据给定材料，“2015年度和2016年度，深圳市超频三科技股份有限公司营业收入分别同比变动-4.72%、2.43%。”"
292,报告期内，山东海看网络科技有限公司主营业务是什么？,山东海看网络科技有限公司的主营业务是基于电信网、互联网、移动互联网等通道，通过电视机、电脑、手机等各类终端设备，向用户提供的iptv、otttv、互联网视频等 Multimedia Services 整体解决方案。
293,根据招股意向书，2015年国家下调天然气价格后，对大连派思燃气系统股份有限公司未来经营活动的影响是什么？,根据上文提到的，由于2013年和2014年国家两次上调天然气价格，导致大连派思燃气系统股份有限公司在手订单数量和合同总金额较上年同期有所下降。但是，2015年2月国家已经下调了天然气价格，因此预计我国燃气电厂的建设规模和数量将有所增加，会对公司未来经营活动产生积极影响。
294,青海互助青稞酒股份有限公司的实际控制人是谁？共有几人？,青海互助青稞酒股份有限公司的实际控制人是李银会，共有两人。
302,广州中海达卫星导航技术股份有限公司的国内营销网络有多少个办事处和几家分公司？多少营销服务人员？,根据给定材料，“广州中海达卫星导航技术股份有限公司的国内营销网络有7个办事处和2家分公司，共有240多名营销服务人员。”
303,根据东莞勤上光电股份有限公司招股意向书，全球率先整体用LED路灯替换传统路灯的案例是？,2008年东莞勤上光电股份有限公司实施的东莞石排全镇LED路灯改造工程是全球率先整体用LED路灯替换传统路灯的案例，该工程已经通过了广东省科技厅组织的现场验收。
304,中国铁路通信信号股份有限公司本次发行前总股本为多少？本次发行后本公司总股本为多少？,"预计发行日期：2019年7月10日，因此，中国铁路通信信号股份有限公司本次发行前总股本为708,981.90万股，按照本次发行上限180,000.00万股计算，本次发行后本公司总股本为888,981.90万股。"
305,什么公司、在何时与浙江双飞无油轴承股份有限公司发生了产品争议事项？产品争议事项是否已经解决？,材料中没有明确说明哪个公司和浙江双飞无油轴承股份有限公司发生了产品争议事项，因此无法回答这个问题。
306,深圳信立泰药业股份有限公司本次募集资金项目拟投资总额为多少？,"深圳信立泰药业股份有限公司本次募集资金项目拟投资总额为52,075.70万元。"
312,森赫电梯股份有限公司获得多少项国内专利？其中有多上项发明专利？,根据题目中提到的公司简介，森赫电梯股份有限公司获得了171项国内专利，其中包含了17项发明专利。
314,江苏爱康太阳能科技股份有限公司注册资本是多少？,"江苏爱康太阳能科技股份有限公司的注册资本是15,000万元。"
316,常熟风范电力设备股份有限公司在报告期内的资产总额及逐年变化趋势如何？,常熟风范电力设备股份有限公司在报告期内的资产总额呈现逐年上升的趋势。
318,新疆浩源天然气股份有限公司的主要业务是什么？,新疆浩源天然气股份有限公司的主要业务是天然气输送及销售，主要包括车用天然气销售业务、民用天然气销售业务、入户安装业务。
320,大连派思燃气系统股份有限公司在何时获得美国GE公司的合格供应商认证？,大连派思燃气系统股份有限公司在2008年获得美国GE公司的合格供应商认证。
322,青海互助青稞酒股份有限公司报告期内面临的最重要风险因素是什么？,青海互助青稞酒股份有限公司报告期内面临的最重要风险因素是产业政策风险，这主要是因为公司所在的白酒行业受到国家产业政策的监管，包括税收、土地、广告宣传、价格等方面的调控手段都可能对白酒生产与消费产生限制。此外，相对依赖单一市场、品牌风险、假冒伪劣及侵权产品的风险等因素也可能对企业的经营产生影响。
324,截至2016年6月30日，华达汽车科技股份有限公司及子公司共有技术研发人员多少人？技术研发人占员工总人数的多大比例？,根据您提供的材料，截至2016年6月30日，华达汽车科技股份有限公司及子公司共有技术研发人员118人，占员工总人数6.54%。
328,2007年度、2008年度、2009年度，杭州中恒电气股份有限公司的加权平均净资产收益率分别是多少？,2007年度、2008年度、2009年度，杭州中恒电气股份有限公司的加权平均净资产收益率分别为24.93%、24.13%、24.01%。
332,森赫电梯股份有限公司产品的材料成本占整梯生产成本的多大比例？,森赫电梯股份有限公司产品的材料成本占整梯生产成本的90%左右。
334,确成硅化学股份有限公司生产的沉淀法二氧化硅广泛应用于哪些行业？其中对哪个行业的依赖度大？,确成硅化学股份有限公司生产的沉淀法二氧化硅广泛应用于橡胶、轮胎、医药、农药、固体消防材料、农业、饲料、涂料、油墨、造纸等行业，其中对橡胶行业的依赖度较大。
336,截至2009年12月31日，杭州中恒电气股份有限公司具有大、中专以上学历员工占员工总数的比例是多少？,根据给定材料，无法直接找到答案。
342,深圳市铁汉生态环境股份有限公司所在的生态环境建设行业涉及的两个领域是什么？,深圳市铁汉生态环境股份有限公司所在的生态环境建设行业涉及生态修复及园林绿化两个领域。
343,山东海看网络科技有限公司的IPTV业务功能包括哪些？,海看网络科技（山东）股份有限公司的IPTV业务功能主要包括：传输音频、视频节目信息；储存、处理视频节目信息；提供用户端软件下载服务；提供节目检索服务；提供节目预约、回看服务；提供节目推荐服务；提供节目评论服务；提供节目排行榜服务；提供节目播放时插播广告服务；提供节目指南服务；提供计费、收费服务；提供与节目有关的信息查询服务；提供与收视历史记录有关的节目重播服务；
346,杭州中恒电气股份有限公司计划在项目建设期增加多少固定资产投资？,"根据给定材料，杭州中恒电气股份有限公司计划在项目建设期增加的固定资产投资合计为10,980万元，其中机器设备购置费总计5,194.70万元，厂房建筑物3,008万元。"
347,湖南长远锂科股份有限公司公司的生产成本包括哪些部分？,根据给定材料，湖南长远锂科股份有限公司的生产成本包括直接材料、直接人工、制造费用三部分。
348,深圳信立泰药业股份有限公司的英文名称是？,"深圳信立泰药业股份有限公司的英文名称是SHENZHEN SALUBRIS PHARMACEUTICALS CO., LTD.。"
350,华达汽车科技股份有限公司的主营业务是什么？,华达汽车科技股份有限公司的主营业务是乘用车车身冲压件、管类件及相关模具的开发、生产与销售，属于汽车零部件行业。
353,云南沃森生物技术股份有限公司创始人的研发资质如何？,云南沃森生物技术股份有限公司的创始人李云春先生是疫苗研发、生产与质量保证方面的高级专家，他与陈尔佳、刘红岩等人以及后续引进公司的黄镇、张翊、杨喆均为疫苗研发、生产与质量保证等方面的高级专家，国内知名疫苗专家郭仁研究员任本公司首席科学家。因此，云南沃森生物技术股份有限公司创始人的研发资质是非常高的。
354,读者出版传媒股份有限公司每年与各印刷厂签订的《读者》印刷协议中，2014年度的含税基本印刷单价是多少？,2014 年度的含税基本印刷单价为 1.39 元/册。
355,浙江双飞无油轴承股份有限公司的主要原材料是什么？,浙江双飞无油轴承股份有限公司的主营业务包括自润滑轴承、减摩组件、密封件、五金件等产品的研发、制造和销售，其中自润滑轴承是其核心产品。根据材料中的描述，“双飞有限出资 35.00万、吴来强出资 5.00万、山学琼、胡志刚、梁娜、刘丽娟、胡建新分别出资 2.00万设立了嘉善卓博进出口贸易有限公司”，因此我们可以得出结论，浙江双飞无油轴承股份有限公司的主要原材料是各种用于制造自润滑轴承的原材料。
357,浙江开尔新材料股份有限公司和合肥翰林是否按规定为员工缴纳了社会保险？,根据材料，浙江开尔新材料股份有限公司和合肥翰林的部分员工没有按时缴纳社会保险，但是公司在2010年开始为员工缴纳住房公积金，并且提供了住房补贴和员工宿舍，同时也在逐步扩大参缴、先管理层后普通员工的住房公积金缴纳方式。截至2010年12月31日，公司共有60名员工未在公司参与社会保险，但是大部分是因为个人原因或者已经在其他单位参保。此外，公司也对报告期内应缴未缴的社会保险和住房公积金进行了测算，并且作出了相应的补偿措施。因此，虽然公司曾经存在未按时缴纳社会保险的情况，但是目前已经采取了积极的纠正措施，并且提供了其他的福利待遇，确保员工的权益不受影响。
358,对湖南国科微电子股份有限公司持续盈利能力可能产生重大不利影响的因素主要包括哪些？,"对湖南国科微电子股份有限公司持续盈利能力可能产生重大不利影响的因素主要包括：保持持续创新能力的风险、投片失败的风险、税收优惠政策变化的风险等。公司已在本招股意向书""-第四节风险因素-""中进行了分析和披露。"
365,报告期内，南京中电联环保股份有限公司流动比率、速动比率呈什么趋势？公司资产流动性水平如何？所面临的流动性风险水平如何？,报告期内，南京中电联环保股份有限公司流动比率、速动比率呈上升趋势。公司资产流动性水平较好，所面临的流动性风险较低。
366,在2021年报中，平安安享灵活配置混合C基金第八大重仓股的代码和股票名称是什么？,根据上述材料，在2021年报中，平安安享灵活配置混合C基金第八大重仓股的代码和股票名称是什么无法回答。因为上述材料并未给出关于平安安享灵活配置混合C基金的具体信息，例如该基金的投资标的、持仓情况等等。
367,为什么广东银禧科技股份有限公司核心技术大部分为非专利技术？,因为公司申请的专利数量较少，只有24项（其中正在申请专利13项），相较于公司拥有的33项核心技术成果，专利数量占比不高，所以公司核心技术大部分为非专利技术。
370,深圳市超频三科技股份有限公司主要采购哪些原材料？,根据给定材料，深圳市超频三科技股份有限公司主要采购的原材料包括铝挤压材、铜质翅片、铜基材、铝基材、硅胶、塑料粒子、五金件等。
371,2019年1-6月，浙江双飞无油轴承股份有限公司向前五大供应商采购原材料金额占同期采购总额的比例是多少？,浙江双飞无油轴承股份有限公司向前五大供应商采购原材料金额占同期采购总额的比例是60.98%。
376,读者出版传媒股份有限公司期刊、图书出版业的产业链主要包括哪些环节？,期刊、图书出版业的产业链主要包括内容策划、书刊原材料供应、印刷出版、总发与批发、零售等五个主要环节。
378,青海互助青稞酒股份有限公司设置哪些部门？,青海互助青稞酒股份有限公司设置了包括证券投资部、内审部、营销中心、办公室、人力资源部、财务部、采购部、仓储部、研发部、生产管理部、质量管理部、设备动力部、西宁分公司在内的多个部门。
382,宁波立立电子股份有限公司募集资金的6－8英寸硅抛光片扩产项目建设工期预计为几年？,宁波立立电子股份有限公司募集资金的6-8英寸硅抛光片扩产项目建设工期预计为2年（2007年7月-2009 年7月）。
385,常熟风范电力设备股份有限公司主要客户的收款周期和发生坏帐的可能性如何？,根据给定材料，常熟风范电力设备股份有限公司的主要客户为国内信用良好的电网企业，因此收款周期较长但发生坏账的可能性较低。另外，相比同行业的齐星铁塔与梅泰诺，公司在报告期内应收账款期末净额占当年营业收入的比率也较低，且公司经营模式为先收款后发货，故应收账款质量较高，发生坏账的风险较小。因此，可以得出结论，常熟风范电力设备股份有限公司的主要客户的收款周期较长，但发生坏帐的可能性较低。
389,东莞勤上光电股份有限公司建立的LED照明产品系列包括哪些？,东莞勤上光电股份有限公司建立的LED照明产品系列包括LED景观照明、LED功能照明、LED显示屏和LED特种照明四个大的系列。其中，基于大功率白光LED照明技术的LED功能照明是公司主营业务的主要方面和发展方向，报告期末，其在公司主营业务收入的占比超过了一半。
399,报告期内，宁波立立电子股份有限公司硅抛光片产品2005年毛利率稍低的主要原因是什么？,宁波立立电子股份有限公司硅抛光片产品2005年毛利率稍低的主要原因是因为公司大量新购生产设备造成折旧增加，而新增产能和销售收入未能及时体现。
400,宁波立立电子股份有限公司企业所得税的法定税率是多少？,宁波立立电子股份有限公司企业所得税的法定税率为33%。
401,报告期内，湖南国科微电子股份有限公司的主营业务收入主要来源于什么产品？,报告期内，湖南国科微电子股份有限公司的主营业务收入主要来源于广播电视系列芯片和智能监控系列芯片。
404,2008年度、2009年度深圳市铁汉生态环境股份有限公司园林绿化工程收入的增长率分别为多少？,根据题目中的句子“2008年度、2009年度本公司园林绿化工程收入的增长率分别为118.56%、79.63%，是少数有能力同时涉足生态修复及园林绿化领域的公司，并且在两个领域都有较强的竞争优势，这种复合竞争优势将为公司未来快速发展提供可靠保障”，可以得出答案：2008年度、2009年度深圳市铁汉生态环境股份有限公司园林绿化工程收入的增长率分别为118.56%、79.63%。
406,请问在机械设备行业，20190508行业的A股公司有多少?,无法回答
416,烟台杰瑞石油服务集团股份有限公司所属行业在产品销售和服务的地点上体现出怎样的区域性特征？,烟台杰瑞石油服务集团股份有限公司的产品销售和服务在地区上呈现出一定的区域性特征。据材料显示，公司主要服务于全国各大油田，因此，其产品和服务的地点分布也主要集中在油田所在地区。同时，由于国内客户大部分是国有或国有控股企业，这些客户一般在每年末制定采购计划，因此，油田专用设备、维修配件的国内订单一般是在每年的3月份以后陆续签订，大部分的合同执行期在3-6个月之间，设备及配件交付给客户后才确认收入，收入确认多集中在下半年，从而呈现出一定的季节性波动特点。因此，可以说，公司在产品销售和服务的地点上体现了向全国主要油田集中的区域性特征。
418,江苏旷达汽车织物集团股份有限公司的营业收入主要包括哪些？,汽车及其他交通工具座椅面料以及其他内饰面料和车内饰面料用有色差别化涤纶丝的研发、生产和销售。
421,华达汽车科技股份有限公司的实际控制人是谁？截至本招股意向书签署日，公司实际控制人控制本公司多大比例的股份。,华达汽车科技股份有限公司的实际控制人是陈竞宏。截至本招股意向书签署日，公司实际控制人控制本公司74.79%的股份。
423,常熟风范电力设备股份有限公司在国际市场上的主要合作伙伴有哪些？,常熟风范电力设备股份有限公司在国际市场上的主要合作伙伴包括澳大利亚三大电力公司和四家主要输变电线路承包商，以及华为技术有限公司、特变电工股份有限公司、中国机械设备进出口总公司、中国东方电气集团工程公司等。此外，公司还与印度著名的通信公司Reliance Telecom Infrastructure Ltd. & GTL Infrastructure Limited.建立了业务合作关系。
424,读者出版传媒股份有限公司本次发行前各股东间的关联关系情况如何？,本次发行前，除甘肃电投为甘肃国投全资子公司，读者集团和甘肃国投出资人同为甘肃省国资委，甘肃国投由甘肃省国资委、酒钢集团共同持股，其中甘肃省国资委持有甘肃国投 83.54%，酒钢集团持有甘肃国投 16.46%股权。除此之外，各股东间不存在其他关联关系。
425,中国铁路通信信号股份有限公司本次上市选择的标准为预计市值不低于人民币多少？最近一年营业收入不低于人民币多少？,预计市值不低于人民币30亿元，且最近一年营业收入不低于人民币3亿元。
430,烟台杰瑞石油服务集团股份有限公司的战略规划是什么？,根据给定材料，无法直接提取出烟台杰瑞石油服务集团股份有限公司的战略规划。
436,根据森赫电梯股份有限公司招股意见书，目前国内电梯市场中，外资品牌和国内电梯品牌各占多少份额？,根据森赫电梯股份有限公司招股意见书，目前国内电梯市场中，外资品牌约占65%的市场份额，国内电梯品牌约占35%的市场份额。
437,根据《CRCC产品认证实施规则》，《铁路产品认证证书》有效期为多久？北京天宜上佳高新材料股份有限公司取得《铁路产品认证证书》后，至少多久需要接受一次监督？,根据材料，“CRCC产品认证证书”的有效期为5年，取得后每12个月至少接受一次监督。
438,2019年1-6月浙江双飞无油轴承股份有限公司经营业绩出现下滑的原因是什么？,"2019年1-6月浙江双飞无油轴承股份有限公司的经营业绩出现下滑的原因主要有以下几点：
1. 全球经济复苏尚未稳定，全球经济面临继续下滑或增长减缓的可能；
2. 受中美贸易争端的影响，2019年1-6月出口美国的销售收入同比减少32.71%，对当期公司经营业绩产生影响。"
447,深圳市超频三科技股份有限公司现有核心技术人员几名？是谁？,深圳市超频三科技股份有限公司现有核心技术人员3名，分别为杜建军、李娟、王伟。
449,湖南南岭民用爆破器材股份有限公司主要业务是什么？,湖南南岭民用爆破器材股份有限公司的主要业务是工业炸药、工业导火索的生产和销售。
451,华瑞股份第二次股权转让引入的外部投资者是？,富国银洋
453,在哪些国家和地区，兰州海默科技股份有限公司必须通过当地公司销售产品和服务？,在中东国家和地区，如阿联酋、阿曼、科威特等，按照当地法律，外国公司必须通过当地公司销售产品和服务。
458,截至本招股意向书出具之日，广东银禧科技股份有限公司有多少发明专利正在申请？,截至本招股意向书出具之日，广东银禧科技股份有限公司共有13项发明专利正在申请过程中。
459,内蒙古君正能源化工股份有限公司的主营产品是什么？,内蒙古君正能源化工股份有限公司的主营产品包括电力、电石、硅铁、PVC、烧碱等。
460,汉嘉设计集团股份有限公司主要无形资产有哪几类？,"根据材料，汉嘉设计集团股份有限公司主要无形资产有如下几类：
1. 软件著作权；
2. 商标权；
3. 专利权。"
464,自2020年3月20日起，确成硅化学股份有限公司_产品出口退税率为多少？,自2020年3月20日起，确成硅化学股份有限公司的产品出口退税率为13%。
466,湖南南岭民用爆破器材股份有限公司取得的有效期是什么？,根据给定材料，湖南南岭民用爆破器材股份有限公司取得了编号为(湘01)MB安许字[2005]的《安全生产许可证》，有效期为2005年4月27日至2008年4月27日。
467,海南双成药业股份有限公司使用的“甘美多兰”商标的所有权归哪家公司？商标的授权期限是多久？,海南双成药业股份有限公司使用的“甘美多兰”商标的所有权归海南正本源药业有限公司，商标的授权期限是2011年1月1日至2015年12月31日。
472,西安启源机电装备股份有限公司控股股东是谁？直接持有多少的股份？,"西安启源机电装备股份有限公司的控股股东是国际工程公司，直接持有1,550万股，占发行后总股本的25.41%。"
476,截至2010年9月30日，深圳市铁汉生态环境股份有限公司在册员工共多少人？,根据材料可知，截至2010年9月30日，深圳市铁汉生态环境股份有限公司在册员工共243人。
477,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。,"根据上述材料，无法直接找到关于 ""在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。"" 的信息。"
482,根据招股意见书，截至评估基准日1996年1月31日止，孙瑞良对宁波华瑞出资的资产市场价值为多少？,"根据招股意见书，截至评估基准日1996年1月31日止，孙瑞良对宁波华瑞出资的资产市场价值为2,019,156元。其中房屋建筑物1,210,202元，设备808,954元。"
484,珠海健帆生物科技股份有限公司的首席科学家是谁？,根据给定材料，无法找到关于珠海健帆生物科技股份有限公司的首席科学家的信息。
486,大连派思燃气系统股份有限公司在2014年度的纳税信用等级是多少？,大连派思燃气系统股份有限公司在2014年度的纳税信用等级是A级。
489,西安启源机电装备股份有限公司主要产品有哪些？,"西安启源机电装备股份有限公司主要从事变压器专用设备的研发、生产和销售，主要包括以下几种产品：

  1. 变压器绕组智能制造装备：包括大型卧式绕线机、立式绕线机、行星式绕线机、悬臂式绕线机、双工位卧式绕线机等多种型号的绕线机，用于变压器线圈的制造。
  2. 变压器组件智能制造装备：包括铁芯剪切机、冲槽机、组装生产线等设备，用于变压器铁芯的生产加工。
  3. 特种用途智能装备：包括柔性焊接机器人、激光切割机、自动化装配线等设备，用于特定领域的需求。

此外，该公司还提供技术服务、备件销售和维修服务等业务。"
491,北京天宜上佳高新材料股份有限公司产品生产所需的主要原料是什么？,"北京天宜上佳高新材料股份有限公司产品生产所需的主要原料是什么？
根据给定材料，该公司产品生产所需的主要原料没有明确的描述。"
494,昇兴集团股份有限公司本次发行的保荐人是？,昇兴集团股份有限公司本次发行的保荐人是招商证券股份有限公司。
500,根据大连派思燃气系统股份有限公司招股意向书，目前，世界已探明的天然气储量主要集中在什么地区？天然气消费以哪些地区为主？,根据大连派思燃气系统股份有限公司招股意向书，目前，世界已探明的天然气储量主要集中在俄罗斯、中东、北美和北非地区，天然气消费以俄罗斯、美国、欧盟、中东、东南亚等气源丰富地区以及中国、印度、南美洲等经济新兴国家为主。
501,截至2009年底，中海达、南方测绘合计占有国产品牌销售额的多大比例？,根据给定材料，截至2009年底，中海达、南方测绘合计占有国产品牌销售额的70%左右。
502,联化科技股份有限公司在2007年第一次临时股东大会上审议并通过了哪些募集资金项目？,联化科技股份有限公司在2007年第一次临时股东大会上审议并通过了三个募集资金项目，分别是：“年产2500吨卤代芳腈产业化技改项目”、“年产600吨XDE生产线建设项目”和“高新技术研究开发中心技改项目”。
509,广州中海达卫星导航技术股份有限公司整体变更前后，股本增加了多少？,"公司整体变更前后，股本由1,075万元增至3,750万元，增加了2,675万元。"
513,2007年、2008年、2009年，南京中电联环保股份有限公司存货周转率分别为多少次？,2007年、2008年、2009年，南京中电联环保股份有限公司存货周转率分别为2.19次、2.08次、2.73次。
515,根据招股意见书，公司何时整体变更为华瑞电器股份有限公司？,整体变更为华瑞电器股份有限公司的时间是2012年12月21日。
516,根据浙江开尔新材料股份有限公司招股意向书，截至2010年末，合肥翰林总资产为多少？,"根据浙江开尔新材料股份有限公司招股意向书，截至2010年末，合肥翰林总资产为4,472.54万元。"
517,持有烟台杰瑞石油服务集团股份有限公司5%以上股份的股东有是谁？本次公开发行前，他们持有的股份分别占公司总股本的多少比例？,"持有烟台杰瑞石油服务集团股份有限公司5%以上股份的股东是公司主要发起人孙伟杰、王坤晓和刘贞峰，本次公开发行前上述三人分别持有公司股份3,032.40万股、2,074.80万股和1,622.53万股，分别占公司总股本的35.34%、24.18%和18.91%。"
519,截至2018年末，按照国内高速铁路控制系统集成项目累计中标里程统计，中国铁路通信信号股份有限公司的中标里程覆盖率为多少？,根据给定材料，“截至2018年末，按照国内高速铁路控制系统集成项目累计中标里程统计，中国铁路通信信号股份有限公司的中标里程覆盖率为超过60%。”因此，答案为：“超过60%”。
520,截至2009年12月31日，杭州中恒电气股份有限公司的净资产是多少？,截至2009年12月31日，杭州中恒电气股份有限公司的净资产是5000万元。
524,旷达汽车织物集团何时设立股份有限公司，注册资本是多少？,"旷达汽车织物集团设立股份有限公司的时间是2007年12月18日，注册资本是15,000万元人民币。"
526,新疆浩源天然气股份有限公司实际控制人直系亲属控股的企业有哪些？,控制的企业包括：阿克苏基岩混凝土工程有限责任公司、阿克苏盛威房地产开发有限公司、阿克苏佳园物业服务有限责任公司、阿克苏净宇环保产业有限责任公司、新疆阿克苏环瑞危险废物处理有限公司、温宿县浩源葡萄酒庄有限公司、阿克苏鸿业监理有限责任公司、海南乾泰投资有限公司、海南屯昌盛威投资有限公司等。
527,北京天宜上佳高新材料股份有限公司2017年度的营业收入和净利润分别为多少？,"北京天宜上佳高新材料股份有限公司2017年度的营业收入和净利润分别为50,713.40万元和22,193.09万元。"
531,武汉兴图新科电子股份有限公司法定代表人是谁？,武汉兴图新科电子股份有限公司法定代表人为程家明。
533,在营销模式方面，云南沃森生物技术股份有限公司如何提高疫苗产品的品牌影响力？,在营销模式方面，云南沃森生物技术股份有限公司通过组织高水平学术推广会议、与各级疾控中心合作开展基础预防教育等方式，提高本公司疫苗产品的品牌影响力。此外，该公司还充分发挥对国内流行病发展趋势、国际国内疫苗发展趋势以及疫苗研发生产的深刻理解，通过自营与区域代理商相结合的产品销售模式，建立了覆盖全国的营销网络。
541,烟台杰瑞石油服务集团股份有限公司面临的市场风险有哪些？,根据给定材料，烟台杰瑞石油服务集团股份有限公司面临的市场风险包括外汇汇率的波动风险和市场竞争风险。外汇汇率的波动将直接影响公司采购成本及出口产品的销售价格，从而对公司经营造成影响。而市场竞争加剧也可能导致公司国内市场占有率降低，从而影响公司业绩。
543,武汉兴图新科电子股份有限公司注册资本是多少？,"武汉兴图新科电子股份有限公司注册资本是5,520万元。"
544,华瑞电器股份有限公司成立以来的是否存在重大资产重组？如果存在，该重组是什么？,是的，华瑞电器股份有限公司成立以来存在重大资产重组。据材料描述，“发行人成立以来的重大资产重组为对同一控制下关联企业——宁波胜克的换向器业务和资产进行整合。”因此，该重组属于同一控制下企业合并。
545,5、确成硅化学股份有限公司的子公司确成国际主营业务是什么？,根据材料可知，确成硅化学股份有限公司的子公司确成国际的主营业务是投资及贸易。
547,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于股票型类型的有几个。,根据提供的材料，我无法找到关于2019年度报告中个人投资者持有基金份额大于机构投资者持有基金份额的股票型基金的具体数量。
550,内蒙古君正能源化工股份有限公司控股股东、实际控制人控制的其他企业有哪些？,内蒙古君正能源化工股份有限公司的控股股东、实际控制人控制的其他企业包括：君正国际投资（北京）有限公司、北京博晖创新光电技术股份有限公司、乌海市君正科技产业有限责任公司、乌海市君正房地产有限公司、北京博昂尼克微流体技术有限公司、廊坊市君正房地产开发有限公司。
553,中国铁路通信信号股份有限公司本次发行初始战略配售发行数量为多少股？占发行数量的多大比例？,本次发行初始战略配售发行数量为 5.4亿股，占发行数量的 30.00%。
554,华达汽车科技股份有限公司近年开发的代表性新产品及新技术有哪些？,"根据给定材料，华达汽车科技股份有限公司近年开发的代表性新产品及新技术有：

1. 滚花隔热板的开发及应用；
2. 由原冲压工序模具逐渐向连续模、传递模制造转型，并采用机器人辅助制造系统集成技术适应自动冲压、焊接生产线智能制造；3. 在金属管制件方面由传统的发动机金属油管、气管、水管、转向管、制动管、燃油管、冷却水管向技术含量高、附加值高的高油压管方向发展。"
556,海南双成药业股份有限公司的前身是什么？成立于何时？,海南双成药业股份有限公司的前身是海南双成药业有限公司，成立于2000年5月22日。
558,根据江苏爱康太阳能科技股份有限公司招股意向书，从太阳能电池企业布局供给结构来看，大部分企业最主要分布在什么地区？,从太阳能电池的供给区域看，亚洲是全球最大的太阳能电池供应地区。自2004年以来，中国在晶体硅太阳能电池生产能力方面呈现出快速增长，2007年的晶体硅太阳能电池产量已经超越日本，成为世界第一大晶体硅太阳能电池生产国。以2009年的产量来看，中国晶体硅太阳能电池的产量占到全球总产量的42.1%。欧洲的德国也是较大的太阳能电池供应国，其产量占据全球的16.9%，美国的太阳能电池供给约占全球7.5%左右。2008年、2009年全球太阳能电池供给区域分布情况如下：  ④行业主要企业太阳能电池行业集中度较高，2007-2009年全球前十大太阳能电池厂商的供给分别占全球总供给的59.41%、56.12%和67.35%  2009年9月24日江阴爱康太阳能器材有限公司依法更名为江苏爱康太阳能科技有限公司。2010年9月14日，江苏爱康太阳能科技有限公司整体变更为江苏爱康太阳能
559,东莞勤上光电股份有限公司目前主要竞争对手有哪些？,东莞勤上光电股份有限公司目前主要竞争对手有欧司朗、飞利浦、联创光电等。
560,广州中海达卫星导航技术股份有限公司两家全资子公司是？,"广州中海达卫星导航技术股份有限公司两家全资子公司是？ 
根据给定材料，广州中海达卫星导航技术股份有限公司的两家全资子公司分别是中海达测绘和华星定位。"
565,报告期内，广东银禧科技股份有限公司国外销售收入占当期主营业务收入的比重分别是多少？,根据给定材料，广东银禧科技股份有限公司国外销售收入占当期主营业务收入的比重分别是72.52%、63.13%和51.14%。
566,海南双成药业股份有限公司制定了哪些环保和安全管理规程？,"海南双成药业股份有限公司制定了以下环保和安全管理规程：
1. 厂区安全管理规程
2. 检验室安全管理规程
3. 设备事故管理规程
4. 安全用电管理规程
5. 安全事故管理规程
6. 停水、停电处理管理规程
7. 化学危险品管理规程
8. 质量事故管理规程
9. 质检中心安全管理规程"
567,在环保资质方面，森赫电梯股份有限公司取得了哪些排污许可证，有效期是什么时候？,"森赫电梯股份有限公司取得了两项排污许可证，分别是：
1. 编号为913305006691654997001X的《废气控制制度》；
2. 编号为913305006691654997001X的《废水排放控制制度》。这两项排污许可证的有效期均至2025年3月25日。"
571,常熟风范电力设备股份有限公司采取了哪些措施来降低实际控制人风险？,"常熟风范电力设备股份有限公司采取了多项措施来降低实际控制人风险，包括：
1. 制订并实施“三会”议事规则、建立独立董事制度、成立由独立董事占多数的董事会战略与投资委员会、提名委员会、审计委员会、薪酬与考核委员会等一系列措施，完善公司治理结构；
2. 控股股东范建刚、范立义和范岳英作为关联方，合并持有公司77.8525%的股份。本次公开发行后，范建刚、范立义和范岳英所控制的股份比例将降低至58.3893%，但仍然占据绝对控股地位；
3. 利用厂房本身的隔声效果以及厂房外辅房（空调机房、空压机房等等）阻挡作用可以有效削减高噪声源的声压级，削减作用可达30dB(A)左右；
4. 厂房内壁在适当位置设置一些多孔吸声材料，天花也设置一些吸声吊顶，对车间进行适当分隔，能有效降低车间内部的综合噪声；
5. 减少开窗率，窗户使用双层玻璃，削减噪声；对于高噪操作，在室内设置隔声主控室；
6. 将东西向车间的东段作为临时存放和产品保管区，能将声源西移，减少对东北方居民的影响；
7. 充分发挥几何距离衰减作用的效果，车间布置上使声源远离厂界，达到衰减效果；
8. 厂区大力进行绿化建设，厂区内部形成桥灌草混合的卫生防护景观绿化；同时厂界建设高围墙，围墙内外种植“枝密型”乔木和灌丛。通过上述治理措施，可使厂界噪声及厂界周围区域环境噪声达标，使厂界周围的声环境符合《工业企业厂界噪声标准》（GB12348—90）III类的要求，其中东北侧居民点符合2类混杂区的标准要求。"
